id,任务ID,任务名称,任务类型,根模型名称,提示声音,触发音效,打开设备音效,关闭设备音效,提示内容,知识点,视频,需要的工具,反馈的模型,播放的动画,关闭的动画,任务后显示的模型,任务后隐藏的模型,任务前显示的模型,任务后显示的模型,当前瞬移的位置,当前瞬移的角度
1,11101,穿上工作服,tool,room11,Souce/1.wav,,,,前往更衣间，穿上工作服,,,工作服,,,,,,,,,
2,11102,穿上工作鞋,tool,room11,Souce/2.wav,,,,穿上工作鞋,,,工作鞋,,,,,,,,,
3,11103,戴上工作牌,tool,room11,Souce/3.wav,,,,戴上工作牌,,,工作牌,,,,,,,,,
4,11201,放置名牌,task,room11,Souce/4.wav,,,,前往值班室，放置名牌,,,,mainscene11/equipments/泵站情况；,,,,,,,,
5,11202,签到,task,room11,Souce/5.wav,,,,签到,,,,mainscene11/equipments/签到表；,,,,,,,,
6,11203,听交班人介绍工作情况,task,room11,Souce/6.wav,,,,听交班人介绍工作情况,,,,mainscene11/equipments/员工；,,,,,,,,
7,11204,填写工作日志,task,room11,Souce/1.wav,,,,填写工作日志,,,,mainscene11/equipments/工作日志；,,,,,,,,
8,11205,生活电器使用情况检查,task,room11,Souce/2.wav,,,,生活电器使用情况检查,,,,mainscene11/equipments/微波炉；,,,,,,,,
9,11206,雨量钟的使用情况检查,task,room11,Souce/3.wav,,,,雨量钟的使用情况检查,,,,mainscene11/equipments/雨量钟；,,,,,,,,
10,11301,检查格栅工作情况,task,room11,Souce/4.wav,,,,前往格栅间，检查格栅工作情况,,,,mainscene11/equipments/格栅；,,,,,,,,
11,11302,检查闸门工作情况,task,room11,Souce/5.wav,,,,检查闸门工作情况,,,,mainscene11/equipments/闸门；,,,,,,,,
12,11303,检查液位计工作情况,task,room11,Souce/4.wav,,,,检查液位计工作情况,,,,mainscene11/equipments/液位计；,,,,,,,,
13,11304,检查水泵工作情况,task,room11,Souce/6.wav,,,,检查水泵工作情况,,,,mainscene11/equipments/水泵；,,,,,,,,
14,11305,检查流量仪工作情况,task,room11,Souce/5.wav,,,,检查流量仪工作情况,,,,mainscene11/equipments/流量仪；,,,,,,,,
15,11306,检查剩水泵工作情况,task,room11,Souce/6.wav,,,,检查剩水泵工作情况,,,,mainscene11/equipments/剩水泵；,,,,,,,,
