id,任务ID,任务名称,图片路径,试题类型
1,Task1.1,泵站管理的交接班,1,普通
2,Task1.2,泵站管理的设备保养,2,普通
3,Task1.3,泵站的安全管理,3,普通
4,Task1.4,水泵的日常保养,4,普通
5,Task2.1.1,离心泵组装,5,普通
6,Task2.1.2,轴流泵组装,6,普通
7,Task2.1.3,混流泵组装,7,普通
8,Task2.2,水泵性能曲线实验,8,普通
9,Task2.3,格栅除污机、压榨机操作,9,普通
10,Task2.4,启闭进出水闸门,10,普通
11,Task2.5.1,常见控制设备辨认,11,连线
12,Task2.5.2,常见变配电设备辨认,12,连线
13,Task2.6,倒闸操作,13,普通
14,Task3.1,中小型水泵机组运行,14,普通
15,Task3.2,给水泵站、排水泵站的布置,15,普通
16,Task3.3,水泵机组运行前的各项准备,16,普通
17,Task3.4,水泵机组的启动、停机操作,17,普通
18,Task3.5.1,水泵机组运行中的常见问题一,18,普通
19,Task3.5.2,水泵机组运行中的常见问题二,19,普通
20,Task3.6,水泵机组运行过程中的巡视与检查,20,普通
21,Task4.1,泵站值勤表的正确记录,21,报表
22,Task4.2,泵站运行的日常报表填写,22,普通
23,Task4.3,泵站中控室的运行调度情况的记录,23,普通
24,Task4.4,泵机设备运行状况判断与处置,24,普通
25,Task4.5,水泵能耗的分析和计算,25,普通
